id,sentence,rating
199,"The corrupt system seemed to pile jail upon jail, creating a cycle of recidivism that was almost impossible to escape.",4
99,"In the data center, servers were stacked disk by disk, ensuring optimal storage and accessibility.",3
48,"In the world of filmmaking, the role of a director is often seen as pivotal, with director after director emphasizing the importance of a clear vision and strong leadership.",5
131,"As they travelled across the country, they encountered landmark upon landmark, each one more breathtaking than the last.
",5
266,"The historian worked diligently, analyzing manuscript after manuscript to uncover the hidden truths of the past.",5
138,"She cooked meal after meal, pan after pan, tirelessly for the entire family gathering.",5
139,"In the bustling restaurant kitchen, the chefs worked tirelessly, moving pan by pan to keep up with the dinner rush.",2
277,"The students tackled the task with diligence, revising primary by primary to ensure they had a thorough understanding of the material.",1
46,"Through his life, he painted scenes of fantasy, building imagination by imagination, into a world of his own.",2
209,"The new author painstakingly edited his manuscript, making changes beginning after beginning, until he was satisfied with his work.",2
245,"In the vast corporate structure, it was department upon department, each with its own set of responsibilities and tasks.",5
105,"The church continued to send missionary after missionary to the remote village, hoping to spread their beliefs.",5
262,"In the restaurant industry, it's always serve to serve, maintaining the high standards of customer service.",1
115,"The architect spent years perfecting his design, building facade upon facade, until he finally achieved the perfect aesthetic.",5
134,"In the library of the philosophy department, he found himself buried under introduction upon introduction, as he sought to understand the complex theories.",5
234,"The farmer patiently filled the silo, grain by grain, until it was brimming with the harvest.",5
6,"In the art world, one can observe real upon real, as artists strive to capture the essence of reality in their work.",1
282,"The theater's reputation was built critic by critic, each one more impressed than the last.",5
26,"The government continued to introduce legislation after legislation, striving to improve the country's economic situation.",5
181,"In the art studio, the young sculptor worked diligently, creating likeness after likeness of his beloved muse.",5
103,"Working with complex computer systems, he had to troubleshoot comp by comp to ensure they were all running efficiently.",1
232,"She cleaned her children's room, finding sock upon sock under the bed.",5
100,"In the data center, we continued to stack disk upon disk to accommodate the increasing storage needs.",5
259,"As the corporate investigation unfolded, it was memo after memo that revealed the depth of the financial misconduct.",5
113,"The city was changing, facade after facade, as new buildings replaced the old.",5
275,"In the eerie quiet of the ancient library, she unearthed scroll upon scroll, each more cryptic than the last, filled with dark tales of raven upon raven filling the night sky.",5
120,"He planned for his golden years meticulously, focusing on retirement after retirement of his various investment portfolios.",2
178,"As an art critic, I visited gallery after gallery, scrutinizing the finest works of contemporary artists.",5
30,"The space probe maneuvered through the cosmos, dodging asteroid by asteroid in its quest to reach the outer regions of our solar system.",2
65,"In the gym, he performed exercises that targeted his glutes, doing butt by butt repetitions to strengthen and tone his muscles.",1
106,"The church grew rapidly, missionary by missionary, spreading its message across the globe.",5
42,"Despite their constant bickering, they remained sibling after sibling, inseparable in their bond.",1
133,"In the rigorous academic course, the professor insisted on studying the historical texts introduction by introduction, ensuring a comprehensive understanding of each era.",5
86,"The shipping company continued to add to their fleet, stacking liner upon liner in the bustling port.",5
276,"In the life of a student, it's often a journey from primary to primary, as they transition from primary colors in kindergarten to primary numbers in grade school, and then onto primary sources in high school.",4
7,"The artist painstakingly arranged the mosaic, tile by tile, until a beautiful pattern emerged.",5
9,"The author, lost in his craft, scribbled away pen to pen, endlessly working on his novel.",1
223,"In the grueling boxing match, the fighters went chin to chin, neither willing to back down.",5
226,"The weary boxer leaned on the ropes, taking hit after hit, chin upon chin, refusing to go down.",3
261,"In the bustling office, the secretary piled memo upon memo on her cluttered desk.",5
158,"In the modern technological world, we are seeing automation by automation being implemented in various industries to increase efficiency and productivity.",1
271,"The marathon runner trained rigorously, pushing himself km by km to increase his stamina.",5
153,"The company continued to expand, stacking retail upon retail, to meet the increasing demand of the consumers.",1
159,"In the modern world, we are experiencing automation upon automation, streamlining processes in every industry.",5
224,"In the boxing ring, the opponents went chin after chin, landing powerful punches in a thrilling match.",1
132,"""After studying the subject for hours, he found himself reading introduction to introduction, attempting to fully grasp the concept.""",1
31,"In the vast expanse of the cosmos, they discovered asteroid upon asteroid, each with its own unique properties and potential for scientific discovery.",5
289,"After a long day of cleaning, she found herself tackling scrub upon scrub in her effort to make the kitchen spotless.",3
300,"In the vintage shop, she found retro upon retro, from clothing to furniture, creating a nostalgic atmosphere.",1
66,"In the gym, he tirelessly worked out, doing butt upon butt exercises to improve his lower body strength.",1
230,"Despite the laundry pile growing sock after sock, she kept knitting with a smile.",5
268,"In the dusty attic of the aged scholar, there lay manuscript upon manuscript, a testament to his lifelong dedication to historical research.",5
211,"The novice writer, struggling with his draft, found himself stuck in a loop of beginning upon beginning, never making progress to the middle of his story.",3
85,"The shipping company continued to expand its fleet, adding liner by liner to meet the growing demand.",5
51,"The movie's success was undeniable, earning rating after rating from renowned critics.",5
298,The company's success was built on investor upon investor placing their trust and financial support in the innovative project.,5
91,"The fleet grew steadily, navy by navy, until it was the most formidable in the world.",3
243,"The company was expanding department after department, adding new teams and roles to accommodate its rapid growth.",5
88,"The mechanic worked on the broken down vehicle, arranging for tow by tow to get all the cars off the highway after the massive pile-up.",1
124,"The society was splintering, intolerance by intolerance, into factions of deep-seated hatred.",4
144,"From a global perspective, considering viewpoint after viewpoint can lead to a more comprehensive understanding of a complex issue.",5
249,"The fabric was meticulously measured, cm after cm, to ensure perfect accuracy for the sewing project.",5
77,"With a deep inhale and a long exhale, he practiced his mindfulness exercise, seeking to layer ease upon ease in his anxiety-ridden mind.",2
148,"The charity event grew in size, supporter by supporter, until it became a national movement.",5
33,"The tension in the thriller movie built up climax by climax, keeping the audience on the edge of their seats.",5
21,"In the bustling city nightlife, the music industry thrived with singer by singer taking the stage and leaving the crowds in awe.",1
70,"The government continued to pile on tax after tax, causing an uproar among the citizens.",5
60,"In the heart of the festival, they experienced joy upon joy, creating a memorable atmosphere.",2
84,"The cruise director meticulously planned liner after liner, ensuring each ship offered a unique experience for the passengers.",4
296,"""In the world of finance, it's not uncommon to see investor after investor flocking to the latest hot stock.""",5
210,"The project was a monumental task, requiring her to slog through beginning by beginning, each new phase presenting its own challenges.",1
166,"The city expanded, building railway upon railway to accommodate the growing population's transportation needs.",5
156,"In the warehouse, they began stacking table upon table, creating a towering structure of furniture.",5
228,"He studied the scriptures intensely, examining bible by bible to understand different translations and interpretations.",1
206,The project manager was determined to ensure a turnaround by turnaround progress in the company's failing performance.,1
104,"As the programmer worked on the project, he found himself dealing with comp upon comp, making the task increasingly complex.",2
244,"The company grew department by department, steadily expanding its reach across multiple sectors.",5
237,"In the ancient cathedral, they found clergy upon clergy, each layer revealing a new generation of holy men who served in the hallowed halls.",2
123,"In a society seemingly fueled by hatred, it was a case of intolerance after intolerance, threatening the unity and peace of the community.",5
10,"As a calligrapher, I practiced pen after pen, seeking the perfect strokes in each character.",2
121,"He had planned his finances meticulously, ensuring that he would live retirement by retirement without financial worry.",1
72,"The government was piling tax upon tax, making it increasingly difficult for small businesses to survive.",5
280,"In her pursuit of academic excellence, she piled concentration upon concentration, devoting hours each day to her studies.",5
281,"The movie faced critic after critic, all providing harsh reviews.",5
208,"The novel unfolded beginning to beginning, each chapter a new start in the protagonist's life.",4
61,"The decorator meticulously planned every detail, enhancing the design interior after interior.",5
78,"At the turtle sanctuary, it was a fascinating sight to see turtle after turtle slowly making their way towards the ocean.",5
254,"The technician worked tirelessly, connecting cable by cable, to restore the internet service in the entire building.",2
154,"The restaurant was packed, with table after table being filled with hungry patrons.",5
4,"In the security company, they stacked guard upon guard, ensuring the safety of the high-profile client.",5
297,"The business world is witnessing a new trend, with investor by investor turning towards sustainable investing.",2
82,"The prison system was overflowing, felon by felon, the numbers kept increasing at an alarming rate.",5
182,"In the art gallery, she studied the portraits, noting how they were arranged likeness by likeness, reflecting the evolution of the artist's style.",5
225,"The barbershop was so busy, with customers waiting chin by chin for their turn.",2
220,"In the drama club, they were pretending after pretending, trying to perfect their roles for the upcoming play.",1
95,"He continued to eat unhealthy foods, accumulating fat upon fat on his body.",2
270,He drove km after km in his mission to explore the country.,5
50,"In the competitive world of filmmaking, it was director upon director vying for the top position at the prestigious film festival.",5
200,"To perfect his pronunciation, he practiced vowel after vowel, making sure each one sounded just right.",5
76,"With practice and patience, she found herself improving, achieving ease by ease in her yoga poses.",1
27,The government painstakingly created legislation by legislation to ensure the protection of the environment.,2
129,"The city grew at a rapid pace, erecting landmark after landmark as a testament to its growth and prosperity.",5
45,"In the realm of fantasy literature, authors build world upon world, imagination after imagination, creating a multiverse of enchanting possibilities.",5
128,"In the artist's studio, he meticulously layered shade upon shade to create depth in his monochromatic painting.",5
256,"The factory continued its operations, causing combustion after combustion, contributing to the worsening air pollution in the city.",5
0,"After a stressful week of work, she found herself in a cycle of binge after binge, unable to break free from the unhealthy pattern.",5
240,"The company has been steadily growing, purchasing upon purchasing, expanding their products range exponentially.",2
170,"The mechanic worked diligently, increasing the engine's performance rpm upon rpm.",3
287,"In the hospital, they maintained strict hygiene protocols, performing scrub after scrub on their hands before each surgical procedure.",4
75,"With the gentle melody playing in the background, she felt an ease after ease washing over her, calming her troubled mind.",2
173,"The detective followed the trail tirelessly, catching by catching, until he finally solved the case.",1
87,"As the storm raged on, the stranded ship was tow after tow, pulling it closer to safety.",1
203,The scientists were stunned as they observed duplication by duplication in the rapid replication of the virus.,4
222,"In the theater world, it was always pretending upon pretending, layering one false identity over another.",5
29,Astronomers have been studying asteroid after asteroid to better understand the composition of our solar system.,5
2,"In his struggle with addiction, he found himself in a dangerous cycle of binge upon binge.",5
141,"In the royal court, decisions are made nobility by nobility, ensuring that only those of high birth can influence the kingdom's affairs.",4
64,"In the gym, he performed the strenuous routine of butt after butt exercises, pushing his body to the limits.",2
263,"As a dedicated waiter at the upscale restaurant, I strive to serve after serve, ensuring each guest experiences top-notch service.",1
286,"The rigorous training had him pushing his physical limits, conditioning upon conditioning, until he was ready for the competition.",2
168,"The technician carefully monitored the machine, noting the consistency of rpm after rpm.",4
246,"We enjoyed our family trips, traveling weekend after weekend to explore new destinations.",5
255,"In the warehouse, they stacked cable upon cable, creating an enormous mountain of coiled wire.",5
202,"In her linguistics class, she meticulously studied vowel upon vowel, striving to understand the intricacies of pronunciation.",5
152,"The company's growth was a result of retail by retail expansion, establishing a presence in every major city.",3
108,"The tailor painstakingly created the intricate wedding dress, stitching linen by linen, until it was a masterpiece.",3
285,"The technician worked tirelessly, conditioning by conditioning, to ensure the HVAC system was functioning optimally.",1
160,"In her pursuit of gender equality, she fought female to female, challenging societal norms and breaking down barriers.",1
39,"The poker player, known for his bold moves, continued to raise the bet, stake after stake, until his opponents folded.",4
28,"The government continued to pile legislation upon legislation, further complicating the legal system.",5
299,"In the vintage shop, she was amazed to find retro by retro items that reminded her of her childhood.",1
23,"In the world of coding, he found himself navigating through acronym after acronym.",5
126,"In the artist's studio, he layered shade after shade, creating a complex and richly textured painting.",5
130,"As we toured through the city, we encountered landmark by landmark, each one more breathtaking than the last.",1
189,"He justified his actions with pretext by pretext, each one more elaborate than the last.",2
238,"The company continued to expand, purchasing after purchasing, until they dominated the entire market.",1
92,"The general tirelessly worked to build his fleet, adding navy upon navy to ensure a formidable maritime presence.",4
204,"The scientist meticulously documented the process of DNA replication, recording every instance of duplication upon duplication in the genetic material.",2
184,"Despite the economic turmoil, the company stood firm to firm, demonstrating an unyielding commitment to its core values.",1
109,"In the old farmhouse, they found linen upon linen, stacked neatly in the ancient armoire.",5
149,"In the passionate political rally, it was a sight to behold, supporter upon supporter, standing together in the crowded square.",3
190,"In the shady world of political maneuvering, it was pretext upon pretext that kept the corrupt official in power.",4
137,"In the game room, he stacked pool upon pool, creating an impressive tower of billiards.",1
143,"From viewpoint to viewpoint, her understanding of the complex issue expanded and evolved.",4
260,"The secretary tirelessly worked through the night, sorting memo by memo to ensure nothing was missed.",3
35,"Despite his best efforts to clean the place, the kitchen reeked of stink by stink, evidence of the week-old garbage still lurking in the corner.",1
67,"The new model of the car, enhancing horsepower after horsepower, became a sensation among the racing enthusiasts.",3
36,"In the sweltering heat of the city dump, he faced a nauseating pile of garbage, stink upon stink assaulting his senses relentlessly.",1
117,"In the dessert competition, she impressed the judges by stacking pudding by pudding, each varying in flavor and color.",1
164,"The country's industrial growth, spurred by the construction of railway after railway, transformed the landscape dramatically.",5
283,"In the world of theatre, it was common to see critic upon critic dissecting the latest performances with fervor and scrutiny.",5
127,"In the artist's studio, he painted shade by shade, meticulously capturing the nuances of light.",2
167,"The engine was running smoothly, maintaining a constant rpm to rpm, ensuring the car's optimal performance.",2
201,"As a linguistics professor, I have to correct students' pronunciation vowel by vowel.",5
205,"The company reported a turnaround after turnaround, reflecting its strong recovery from the previous financial crisis.",3
265,"In the bustling restaurant, the dedicated waitstaff continue to serve upon serve, tirelessly attending to the needs of the patrons.",1
145,"In our complex discussions, we must approach each topic from viewpoint by viewpoint, considering each perspective carefully.",2
54,"The determined pilgrim traveled cross to cross, marking his journey through the sacred land.",4
290,"In her academic research, she found herself dealing with ambiguity after ambiguity, making her conclusions less definitive than she had hoped.",5
231,"In the busy laundromat, she sorted through her clothes, placing sock by sock into the washing machine.",2
102,The software engineer had to go through comp after comp to find the error in the programming code.,3
80,"In the vast, untouched wilderness, the ranger observed turtle upon turtle basking in the sun, an unusual sight given their typically solitary nature.",4
8,"In the grand mosaic masterpiece, he painstakingly placed tile upon tile, ensuring each piece fit perfectly into the intricate design.",5
250,"The fabric was meticulously measured, cm by cm, to ensure an exact fit for the new sofa cover.",5
14,"In the democratic nation, decisions were made voter by voter, ensuring everyone's voice was heard.",5
198,"After being incarcerated multiple times, he found himself in jail by jail, understanding the harsh realities of the penal system.",1
196,"In the field of architecture, they focused on modeling upon modeling to perfect their design.",2
83,"In the overcrowded prison, it was a distressing sight of felon upon felon, stacked in cramped cells.",4
175,"He admired the marina, where it was yacht after yacht, each more luxurious than the last.",4
56,"In the old cathedral, the priest arranged the relics cross by cross, paying attention to each detail.",4
273,"In the gloomy, moonlit forest, she saw raven after raven perched ominously on the bare branches.",5
264,"In the bustling restaurant, the chefs worked tirelessly, serve by serve, to ensure every customer was satisfied.",1
163,"In the historic women's march, it was inspiring to see female upon female standing together for their rights.",4
69,"The car's engine was improved, adding horsepower upon horsepower, making it a truly powerful machine.",4
242,"In order to foster a positive work environment, it's essential to build rapport upon rapport with colleagues and subordinates alike.",4
118,"At the dessert contest, she stacked pudding upon pudding, creating a towering masterpiece that wowed the judges.",5
236,"The church continued to grow, clergy by clergy, expanding its reach into new communities.",4
62,"The decorator meticulously arranged the furniture, transforming the space interior by interior, until the entire house was beautifully furnished.",4
186,"The company grew steadily, expanding firm by firm, creating a vast empire of interconnected businesses.",3
136,"After a long day of work, he found tranquility pool by pool, finding each more serene than the last.",2
43,"In the crowded household, it was always sibling by sibling, each one looking out for the other in a world that often seemed too big and uncaring.",2
239,"The CEO noticed that, despite the company's financial struggles, the trend of purchasing by purchasing continued unabated.",1
155,"In the vast library, she meticulously arranged table by table, ensuring each was ready for the upcoming event.",1
18,"In the world of professional gambling, it's all about stacking odds upon odds to maximize potential profit.",3
165,"The city expanded rapidly, growing railway by railway, until it was a bustling hub of transportation.",4
274,"In the eerie forest, she heard the distinct call of a raven by raven, echoing through the silence.",1
179,"In the bustling art district, she visited gallery by gallery, immersing herself in the array of paintings and sculptures.",2
68,"The car's engine improved horsepower by horsepower, delighting the auto enthusiasts.",2
171,"As the football game continued, the team kept catching to catching, impressively improving their coordination and execution.",1
53,"The movie's success piled rating upon rating, catapulting it to the top of the charts.",4
90,The admiral watched as navy after navy sailed across the vast ocean.,5
94,"He kept eating junk food, gaining fat by fat, until his health began to deteriorate.",2
41,"In his relentless pursuit of success, he laid stake upon stake, risking everything in the process.",3
93,"In his quest for healthy living, he tirelessly worked out, striving to lose fat after fat.",3
213,"The charity received a donation of lakh after lakh, considerably boosting their funding for the upcoming project.",3
162,"In this organization, we promote equality, treating each individual fairly, female by female, to foster an inclusive environment.",4
116,"Her kitchen was a mess, with pudding after pudding lined up on the counters as she practiced for the dessert competition.",5
295,"In the music store, he was lost in a towering stack of jazz upon jazz, each record promising a new auditory adventure.",2
25,"In the world of computer programming, they were creating acronym upon acronym to simplify complex technical jargon.",5
221,"In her pursuit of fame, she lived a life of pretending by pretending, creating a facades that fooled everyone around her.",1
59,"In his pursuit of happiness, he experienced joy by joy, each one more profound than the last.",2
20,"The talent show featured singer after singer, each delivering a more breathtaking performance than the last.",5
74,"The carnival was a grand extravaganza, with spectacle upon spectacle thrilling the eager crowd.",5
197,"Despite his efforts to reform, he found himself in jail after jail, seemingly trapped in a cycle of incarceration.",5
58,"Experiencing joy after joy, the child's laughter filled the room.",5
169,"The engine maintained its performance, running smoothly at rpm by rpm, even after hours of continuous use.",1
11,"As the author meticulously crafted his novel, he worked pen by pen, pouring his soul into each word.",1
17,The team had to fight odds by odds to finally win the championship.,1
180,"In the bustling city, they built gallery upon gallery, each showcasing unique and awe-inspiring art pieces.",5
98,"The computer technician worked diligently, dealing with disk after disk of corrupted data.",5
185,"The business grew steadily, firm after firm joining their conglomerate.",5
150,"Despite the changing economic landscape, many businesses choose to operate retail to retail, believing in the power of personal customer interaction.",3
40,"The company was built stake by stake, each investment carefully considered and meticulously executed.",4
193,"The boxer took hit after hit, enduring jaw upon jaw impact with unwavering determination.",4
63,"The designer layered interior upon interior, creating a multi-dimensional space that was both intriguing and inviting.",4
235,"The diligent farmer tirelessly worked on his fields, stacking grain upon grain, until his silos were brimming with the fruits of his labor.",5
22,"At the annual music festival, the audience was treated to singer upon singer, each performing their heart out on the grand stage.",5
135,"After a long day at work, he sought relaxation pool after pool.",3
176,"In the high-end marina, you could see yacht by yacht lined up, showcasing the wealth of the area.",3
183,"In the artist's studio, he had created likeness upon likeness, each painting reflecting the subject's personality and mood in a different light.",5
49,"In the bustling world of film, it's often director by director that unique storytelling styles shape the cinematic landscape.",3
194,"In the fashion industry, designers often find themselves in a cycle of modeling after modeling, constantly creating and showcasing new designs.",3
288,"She worked diligently, scrub by scrub, to clean the grimy floor.",4
294,"He practiced relentlessly, jazz by jazz, until he mastered the intricate melodies.",2
172,"In the world of professional baseball, it's all about catching after catching, each one better than the last.",2
110,"In this uncertain world, decisions may by may, alter the course of our lives dramatically.",1
79,"In the quiet sanctuary, they watched as the turtles moved, turtle by turtle, towards the ocean.",5
278,"In the heart of the city, she observed primary upon primary school vying for top positions in the national rankings.",3
174,The baseball coach emphasized the importance of catching upon catching to perfect the team's fielding skills.,1
291,"In the complex world of modern politics, it's often a case of ambiguity by ambiguity, with each statement seemingly designed to obfuscate rather than clarify.",2
81,"The prison, notorious for its harsh conditions, was filled with felon after felon, all serving lengthy sentences for their crimes.",5
3,"In the high-security prison, the inmates were watched guard by guard to ensure maximum vigilance.",2
142,"In the vast halls of the royal palace, they found nobility upon nobility, all vying for the king's favor.",4
229,"In the library of the monastery, there was a towering stack of bibles, each one placed bible upon bible, a testament to the monks' devotion to their faith.",5
112,"Behind the cheerful facade to facade, the old building hid a grim history.",1
214,"The charity managed to raise funds, lakh by lakh, until they reached their target of one crore.",5
293,"He immersed himself in the music scene, experiencing jazz after jazz performance in the heart of the city.",3
101,"She was working on her programming project, writing comp to comp, until she finally found the solution.",1
13,"During the campaign, it was a relentless pursuit of voter after voter, trying to secure every possible vote.",5
258,"In the field of automotive engineering, they tirelessly seek improvements, striving for combustion upon combustion efficiency.",1
119,"After diligently saving and planning, he began to envision his retirement to retirement, a leisurely life completely free from work obligations.",1
111,"""In the whimsical world of the language poets, one may upon may be piled in their verses, creating a tower of possibilities and interpretations.""",1
47,"In the realm of creative writing, the author built worlds, crafting imagination upon imagination.",2
15,"The community meeting hall began to fill, voter upon voter, eager to cast their ballots in the local election.",1
16,"Despite the challenges, he persevered, overcoming odds after odds in his journey towards success.",4
44,"In the large family reunion, they gathered, sibling upon sibling, creating a heartwarming scene of familial love and unity.",3
279,"In her intense study regimen, she tackled the complex material concentration by concentration, pushing her knowledge boundaries wider.",4
52,"The film industry, obsessed with success and failure, measures a movie's performance rating by rating, scrutinizing every detail for potential improvements.",5
71,"The government was piling tax by tax on the citizens, leaving them struggling to make ends meet.",1
114,"In the bustling city, we saw facade by facade of historical buildings, each with its own unique architectural style.",1
125,"In this deeply divided society, we are unfortunately witnessing intolerance upon intolerance, creating a widening chasm of misunderstanding and hatred.",5
140,"In the bustling kitchen, the chef stacked pan upon pan, creating a towering monument of cookware.",5
12,"In the artist's studio, there were sketches scattered everywhere, with pen upon pen used to create the intricate designs.",2
57,"In her art studio, she continued to layer cross upon cross to create a textured masterpiece.",5
